ACCUSE,-3,0,VERBAL CONFLICT
AGREE,2.5,1,VERBAL COOPERATION
AID,10,2,MATERIAL COOPERATION
ASSAULT,-9,3,MATERIAL CONFLICT
COERCE,-7,4,MATERIAL CONFLICT
CONCEDE,4.5,5,VERBAL COOPERATION
CONSULT,2.5,6,VERBAL COOPERATION
COOPERATE,9.5,7,MATERIAL COOPERATION
MOBILIZE,-5.5,8,MATERIAL CONFLICT
PROTEST,-5,9,MATERIAL CONFLICT
REJECT,-2,10,VERBAL CONFLICT
REQUEST,0,11,VERBAL CONFLICT
RETREAT,6.5,12,MATERIAL COOPERATION
SANCTION,-6,13,MATERIAL CONFLICT
SUPPORT,5,14,VERBAL COOPERATION
THREATEN,-3.5,15,VERBAL CONFLICT
